seqname,tax_id
1_PF00750a,s__Acidilobus_saccharovorans
2_PF00750a,s__Acidilobus_sp._7A
3_PF00750a,s__Caldisphaera_lagunensis
4_PF00750a,s__Caldisphaera_sp.
5_PF00750a,s__Caldisphaera_sp.
6_PF00750a,s__Aeropyrum_camini
7_PF00750a,s__Ignicoccus_hospitalis
8_PF00750a,s__Ignicoccus_islandicus
9_PF00750a,s__Ignisphaera_aggregans
10_PF00750a,s__Staphylothermus_hellenicus
11_PF00750a,s__Zestosphaera_tikiterensis
12_PF00750a,s__Hyperthermus_butylicus
13_PF00750a,s__Pyrodictium_delaneyi
14_PF00750a,s__Pyrolobus_fumarii
15_PF00750a,s__Fervidicoccus_fontis
16_PF00750a,s__Acidianus_hospitalis
17_PF00750a,s__Acidianus_manzaensis
18_PF00750a,s__Candidatus_Acidianus_copahuensis
19_PF00750a,s__Candidatus_Aramenus_sulfurataquae
20_PF00750a,s__Metallosphaera_cuprina
21_PF00750a,s__Metallosphaera_sedula
22_PF00750a,s__Metallosphaera_yellowstonensis
23_PF00750a,s__Saccharolobus_solfataricus
24_PF00750a,s__Sulfolobus_acidocaldarius
25_PF00750a,s__Sulfolobus_sp._A20
26_PF00750a,s__Sulfuracidifex_tepidarius
27_PF00750a,s__Sulfurisphaera_tokodaii
28_PF00750a,s__Thermofilum_adornatum
29_PF00750a,s__Thermofilum_pendens
30_PF00750a,s__Thermofilum_sp._NZ13
31_PF00750a,s__Thermofilum_sp._ex4484_15
32_PF00750a,s__Thermofilum_uzonense
33_PF00750a,s__Caldivirga_maquilingensis
34_PF00750a,s__Caldivirga_sp._MG_3
35_PF00750a,s__Pyrobaculum_aerophilum
36_PF00750a,s__Pyrobaculum_arsenaticum
37_PF00750a,s__Pyrobaculum_calidifontis
38_PF00750a,s__Pyrobaculum_ferrireducens
39_PF00750a,s__Pyrobaculum_islandicum
40_PF00750a,s__Pyrobaculum_neutrophilum
41_PF00750a,s__Thermocladium_sp._ECH_B
42_PF00750a,s__Thermoproteus_sp._AZ2
43_PF00750a,s__Thermoproteus_sp._JCHS_4
44_PF00750a,s__Thermoproteus_tenax
45_PF00750a,s__Vulcanisaeta_moutnovskia
46_PF00750a,s__Vulcanisaeta_sp._AZ3
47_PF00750a,s__Vulcanisaeta_sp._OSP_8
48_PF00750a,s__Vulcanisaeta_thermophila
49_PF00750a,s__Archaeoglobus_fulgidus
50_PF00750a,s__Archaeoglobus_profundus
51_PF00750a,s__Archaeoglobus_sulfaticallidus
52_PF00750a,s__Archaeoglobus_veneficus
53_PF00750a,s__Ferroglobus_placidus
54_PF00750a,s__Geoglobus_acetivorans
55_PF00750a,s__Geoglobus_ahangari
56_PF00750a,s__Halapricum_salinum
57_PF00750a,s__Haloarcula_sp._K1
58_PF00750a,s__Halomicrobium_mukohataei
59_PF00750a,s__Halomicrobium_zhouii
60_PF00750a,s__Halorhabdus_tiamatea
61_PF00750a,s__Halorientalis_persicus
62_PF00750a,s__Halosimplex_carlsbadense
63_PF00750a,g__Natronomonas
64_PF00750a,s__Natronomonas_pharaonis
65_PF00750a,s__Haladaptatus_cibarius
66_PF00750a,s__Halalkalicoccus_paucihalophilus
67_PF00750a,s__Halanaeroarchaeum_sulfurireducens
68_PF00750a,s__Halarchaeum_acidiphilum
69_PF00750a,s__Haloarchaeobius_iranensis
70_PF00750a,s__Halobacterium_jilantaiense
71_PF00750a,s__Halobacterium_salinarum
72_PF00750a,s__Halodesulfurarchaeum_formicicum
73_PF00750a,s__Halovenus_aranensis
74_PF00750a,s__Natronoarchaeum_philippinense
75_PF00750a,s__Halococcus_hamelinensis
76_PF00750a,s__Halococcus_morrhuae
77_PF00750a,s__Halococcus_saccharolyticus
78_PF00750a,s__Halegenticoccus_soli
79_PF00750a,s__Halobellus_limi
80_PF00750a,s__Haloferax_larsenii
81_PF00750a,s__Halogeometricum_limi
82_PF00750a,s__Halogranum_rubrum
83_PF00750a,s__Haloplanus_natans
84_PF00750a,s__Haloplanus_vescus
85_PF00750a,s__Haloprofundus_marisrubri
86_PF00750a,s__Haloquadratum_walsbyi
87_PF00750a,s__Candidatus_Halobonum_tyrrellensis
88_PF00750a,s__Halobaculum_gomorrense
89_PF00750a,s__Halolamina_sediminis
90_PF00750a,s__Halonotius_sp._J07HN6
91_PF00750a,s__Halopenitus_persicus
