seqname,tax_id
1_PF01015,s__Acidilobus_saccharovorans
2_PF01015,s__uncultured_Acidilobus_sp._JCHS
3_PF01015,s__Caldisphaera_sp.
4_PF01015,s__Caldisphaera_sp.
5_PF01015,s__Aeropyrum_pernix
6_PF01015,s__Desulfurococcus_mucosus
7_PF01015,s__Ignicoccus_hospitalis
8_PF01015,s__Ignicoccus_islandicus
9_PF01015,s__Ignisphaera_aggregans
10_PF01015,s__Staphylothermus_hellenicus
11_PF01015,s__Thermogladius_calderae
12_PF01015,s__Thermosphaera_aggregans
13_PF01015,s__Zestosphaera_tikiterensis
14_PF01015,s__Hyperthermus_butylicus
15_PF01015,s__Fervidicoccus_fontis
16_PF01015,g__Acidianus
17_PF01015,g__Acidianus
18_PF01015,s__Acidianus_manzaensis
19_PF01015,s__Candidatus_Aramenus_sulfurataquae
20_PF01015,s__Metallosphaera_cuprina
21_PF01015,s__Metallosphaera_yellowstonensis
22_PF01015,s__Saccharolobus_solfataricus
23_PF01015,s__Sulfuracidifex_tepidarius
24_PF01015,s__Thermofilum_pendens
25_PF01015,s__Thermofilum_sp._NZ13
26_PF01015,s__Thermofilum_sp._ex4484_15
27_PF01015,s__Thermofilum_sp._ex4484_79
28_PF01015,s__Thermofilum_sp._ex4484_82
29_PF01015,s__Caldivirga_sp._MG_3
30_PF01015,s__Pyrobaculum_ferrireducens
31_PF01015,s__Pyrobaculum_neutrophilum
32_PF01015,s__Pyrobaculum_oguniense
33_PF01015,s__Thermocladium_sp._ECH_B
34_PF01015,s__Thermoproteus_sp._AZ2
35_PF01015,s__Thermoproteus_sp._CIS_19
36_PF01015,s__Thermoproteus_tenax
37_PF01015,s__Vulcanisaeta_distributa
38_PF01015,s__Vulcanisaeta_sp._AZ3
39_PF01015,s__Vulcanisaeta_sp._OSP_8
40_PF01015,s__Vulcanisaeta_thermophila
41_PF01015,s__Archaeoglobus_fulgidus
42_PF01015,s__Archaeoglobus_profundus
43_PF01015,s__Archaeoglobus_sulfaticallidus
44_PF01015,s__Archaeoglobus_veneficus
45_PF01015,s__Geoglobus_ahangari
46_PF01015,s__uncultured_Candidatus_Thalassoarchaea_euryarchaeote
47_PF01015,s__uncultured_Candidatus_Thalassoarchaea_euryarchaeote
48_PF01015,s__uncultured_Candidatus_Thalassoarchaea_euryarchaeote
49_PF01015,s__Halomicrobium_zhouii
50_PF01015,s__Halorientalis_regularis
51_PF01015,g__Natronomonas
52_PF01015,s__Natronomonas_moolapensis
53_PF01015,s__Halanaeroarchaeum_sulfurireducens
54_PF01015,s__Haloarchaeobius_iranensis
55_PF01015,s__Halobacterium_sp._DL1
56_PF01015,s__Halodesulfurarchaeum_formicicum
57_PF01015,s__Halococcus_hamelinensis
58_PF01015,s__Halobellus_clavatus
59_PF01015,s__Haloferax_denitrificans
60_PF01015,g__Halogranum
61_PF01015,s__Candidatus_Halobonum_tyrrellensis
62_PF01015,s__Halohasta_litchfieldiae
63_PF01015,s__Halolamina_rubra
64_PF01015,s__Halorubrum_sp._BV1
65_PF01015,g__Halovivax
66_PF01015,s__Methanocaldococcus_bathoardescens
67_PF01015,s__Methanotorris_igneus
68_PF01015,s__Methanococcus_aeolicus
69_PF01015,s__Methanococcus_maripaludis
70_PF01015,s__Methanococcus_voltae
71_PF01015,s__Methanothermococcus_okinawensis
72_PF01015,s__Methanocella_arvoryzae
73_PF01015,s__Methanocella_paludicola
74_PF01015,s__Methanocalculus_sp._52_23
75_PF01015,s__Methanocorpusculum_labreanum
76_PF01015,s__Methanoculleus_sp._SDB
77_PF01015,s__Methanococcoides_methylutens
78_PF01015,s__Methanosarcina_lacustris
79_PF01015,s__Methanosarcina_sp._MTP4
80_PF01015,s__Methanothrix_soehngenii
81_PF01015,s__Methanothrix_thermoacetophila
82_PF01015,s__Candidatus_Methanohalarchaeum_thermophilum
83_PF01015,s__Methanonatronarchaeum_thermophilum
84_PF01015,g__Methanopyrus
85_PF01015,s__Pyrococcus_sp._NA2
86_PF01015,s__Candidatus_Methanomethylophilus_alvus
87_PF01015,s__Candidatus_Methanomethylophilus_sp._1R26
88_PF01015,s__Candidatus_Methanoplasma_termitum
89_PF01015,s__Candidatus_Methanomassiliicoccus_intestinalis
90_PF01015,s__Methanomassiliicoccus_luminyensis
91_PF01015,s__Cuniculiplasma_sp._C_DKE
92_PF01015,g__Acidiplasma
93_PF01015,s__Ferroplasma_sp._Type_II
94_PF01015,g__Picrophilus
95_PF01015,s__Thermoplasma_acidophilum
96_PF01015,s__Thermoplasma_volcanium
97_PF01015,g__Candidatus_Nitrosocaldus
98_PF01015,s__Candidatus_Nitrosocosmicus_oleophilus
99_PF01015,s__Candidatus_Nitrososphaera_evergladensis
100_PF01015,s__Nitrososphaera_sp.
101_PF01015,s__Saccharospirillum_mangrovi
