seqname,tax_id
1_PF01157,s__uncultured_Acidilobus_sp._MG
2_PF01157,s__Caldisphaera_lagunensis
3_PF01157,s__Caldisphaera_sp.
4_PF01157,s__Aeropyrum_camini
5_PF01157,s__Aeropyrum_pernix
6_PF01157,s__Desulfurococcus_amylolyticus
7_PF01157,s__Desulfurococcus_amylolyticus
8_PF01157,s__Desulfurococcus_mucosus
9_PF01157,s__Ignicoccus_islandicus
10_PF01157,s__Ignisphaera_aggregans
11_PF01157,s__Thermosphaera_aggregans
12_PF01157,s__Hyperthermus_butylicus
13_PF01157,s__Pyrodictium_delaneyi
14_PF01157,s__Pyrodictium_occultum
15_PF01157,s__Pyrolobus_fumarii
16_PF01157,s__Fervidicoccus_fontis
17_PF01157,s__Fervidicoccus_sp.
18_PF01157,s__Saccharolobus_solfataricus
19_PF01157,s__Sulfolobus_acidocaldarius
20_PF01157,s__Sulfolobus_islandicus
21_PF01157,s__Sulfuracidifex_metallicus
22_PF01157,s__Sulfuracidifex_tepidarius
23_PF01157,s__Sulfurisphaera_tokodaii
24_PF01157,s__Thermofilum_adornatum
25_PF01157,s__Thermofilum_pendens
26_PF01157,s__Thermofilum_sp._NZ13
27_PF01157,s__Thermofilum_sp._ex4484_79
28_PF01157,s__Caldivirga_maquilingensis
29_PF01157,s__Caldivirga_sp._MU80
30_PF01157,s__Thermocladium_sp._ECH_B
31_PF01157,s__Thermoproteus_sp._AZ2
32_PF01157,s__Vulcanisaeta_distributa
33_PF01157,s__Vulcanisaeta_moutnovskia
34_PF01157,s__Vulcanisaeta_sp._AZ3
35_PF01157,s__Vulcanisaeta_sp._CIS_19
36_PF01157,s__Ferroglobus_placidus
37_PF01157,s__Halarchaeum_acidiphilum
38_PF01157,s__Haloquadratum_sp._J07HQX50
39_PF01157,s__Candidatus_Halobonum_tyrrellensis
40_PF01157,s__Halorubrum_lacusprofundi
41_PF01157,s__Halobiforma_nitratireducens
42_PF01157,s__Halopiger_djelfimassiliensis
43_PF01157,s__Halopiger_goleimassiliensis
44_PF01157,s__Halopiger_salifodinae
45_PF01157,s__Halopiger_xanaduensis
46_PF01157,g__Haloterrigena
47_PF01157,s__Haloterrigena_saccharevitans
48_PF01157,s__Natrarchaeobaculum_aegyptiacum
49_PF01157,g__Natrialba
50_PF01157,s__Natrialba_hulunbeirensis
51_PF01157,s__Natrinema_pallidum
52_PF01157,s__Natrinema_salaciae
53_PF01157,s__Natrinema_sp._CBA1119
54_PF01157,s__Natrinema_versiforme
55_PF01157,s__Natronobacterium_gregoryi
56_PF01157,s__Natronobacterium_texcoconense
57_PF01157,s__Natronococcus_amylolyticus
58_PF01157,s__Natronococcus_jeotgali
59_PF01157,s__Natronolimnobius_baerhuensis
60_PF01157,s__Natronolimnohabitans_innermongolicus
61_PF01157,g__Natronorubrum
62_PF01157,g__Natronorubrum
63_PF01157,s__Methanocaldococcus_jannaschii
64_PF01157,s__Methanocella_paludicola
65_PF01157,s__Methanopyrus_kandleri
66_PF01157,s__Methanopyrus_sp._KOL6
67_PF01157,s__Thermococcus_onnurineus
68_PF01157,s__Candidatus_Nitrosocaldus_cavascurensis
69_PF01157,s__Candidatus_Nitrososphaera_gargensis
70_PF01157,s__Candidatus_Nitrososphaera_sp._13_1_40CM_48_12
71_PF01157,s__Mucilaginibacter_sp._MD40
72_PF01157,s__Lactobacillus_kullabergensis
73_PF01157,s__Saccharospirillum_mangrovi
74_PF01157,s__Pseudomonas_pelagia
