seqname,tax_id
1_PF00687a,s__Acidilobus_saccharovorans
2_PF00687a,s__Acidilobus_sp._7A
3_PF00687a,s__Caldisphaera_lagunensis
4_PF00687a,s__Caldisphaera_sp.
5_PF00687a,s__Caldisphaera_sp.
6_PF00687a,s__Aeropyrum_pernix
7_PF00687a,s__Desulfurococcus_amylolyticus
8_PF00687a,s__Desulfurococcus_mucosus
9_PF00687a,s__Ignicoccus_hospitalis
10_PF00687a,s__Ignicoccus_islandicus
11_PF00687a,s__Ignisphaera_aggregans
12_PF00687a,s__Staphylothermus_marinus
13_PF00687a,s__Thermogladius_calderae
14_PF00687a,s__Thermosphaera_aggregans
15_PF00687a,s__Zestosphaera_tikiterensis
16_PF00687a,s__Hyperthermus_butylicus
17_PF00687a,s__Pyrodictium_delaneyi
18_PF00687a,s__Pyrodictium_occultum
19_PF00687a,s__Pyrolobus_fumarii
20_PF00687a,s__Fervidicoccus_fontis
21_PF00687a,s__Fervidicoccus_sp.
22_PF00687a,s__Acidianus_hospitalis
23_PF00687a,s__Acidianus_manzaensis
24_PF00687a,s__Candidatus_Acidianus_copahuensis
25_PF00687a,s__Candidatus_Aramenus_sulfurataquae
26_PF00687a,s__Metallosphaera_cuprina
27_PF00687a,s__Metallosphaera_sedula
28_PF00687a,s__Metallosphaera_yellowstonensis
29_PF00687a,s__Saccharolobus_solfataricus
30_PF00687a,s__Saccharolobus_solfataricus
31_PF00687a,s__Sulfolobus_sp._A20
32_PF00687a,s__Sulfuracidifex_tepidarius
33_PF00687a,s__Sulfurisphaera_tokodaii
34_PF00687a,s__Thermofilum_adornatum
35_PF00687a,s__Thermofilum_pendens
36_PF00687a,s__Thermofilum_sp._NZ13
37_PF00687a,s__Thermofilum_sp._ex4484_79
38_PF00687a,s__Thermofilum_sp._ex4484_82
39_PF00687a,s__Thermofilum_uzonense
40_PF00687a,s__Caldivirga_maquilingensis
41_PF00687a,s__Caldivirga_sp._MG_3
42_PF00687a,s__Pyrobaculum_aerophilum
43_PF00687a,s__Pyrobaculum_calidifontis
44_PF00687a,s__Pyrobaculum_ferrireducens
45_PF00687a,s__Pyrobaculum_islandicum
46_PF00687a,s__Pyrobaculum_neutrophilum
47_PF00687a,s__Pyrobaculum_oguniense
48_PF00687a,s__Pyrobaculum_sp._WP30
49_PF00687a,s__Thermocladium_sp._ECH_B
50_PF00687a,s__Thermoproteus_sp._AZ2
51_PF00687a,s__Thermoproteus_sp._JCHS_4
52_PF00687a,s__Thermoproteus_tenax
53_PF00687a,s__Vulcanisaeta_distributa
54_PF00687a,s__Vulcanisaeta_sp._JCHS_4
55_PF00687a,s__Vulcanisaeta_thermophila
56_PF00687a,s__Archaeoglobus_fulgidus
57_PF00687a,s__Archaeoglobus_profundus
58_PF00687a,s__Archaeoglobus_sulfaticallidus
59_PF00687a,s__Archaeoglobus_veneficus
60_PF00687a,s__Ferroglobus_placidus
61_PF00687a,s__Geoglobus_acetivorans
62_PF00687a,s__Geoglobus_ahangari
63_PF00687a,s__Halapricum_salinum
64_PF00687a,s__Haloarcula_vallismortis
65_PF00687a,g__Halomicrobium
66_PF00687a,s__Halomicrobium_zhouii
67_PF00687a,s__Halorhabdus_tiamatea
68_PF00687a,s__Halorientalis_regularis
69_PF00687a,s__Halosimplex_carlsbadense
70_PF00687a,g__Natronomonas
