Tax.dist	MCC	True.Pos	True.Neg	False.Pos	False.Neg
0	0.298	6190	14838168	31077	5283
1	0.565	15903	14838168	21364	5283
2	0.685	21750	14838168	15517	5283
3	0.731	24294	14838168	12973	5283
4	0.785	27435	14838168	9832	5283
5	0.879	33352	14838168	3915	5283
6	0.891	34212	14838168	3055	5283
7	0.893	34651	14837781	3003	5283
