seqname,tax_id
1_PF01409a,s__Acidilobus_saccharovorans
2_PF01409a,s__Caldisphaera_sp.
3_PF01409a,s__Caldisphaera_sp.
4_PF01409a,s__Aeropyrum_pernix
5_PF01409a,s__Desulfurococcus_amylolyticus
6_PF01409a,s__Ignicoccus_hospitalis
7_PF01409a,s__Ignicoccus_islandicus
8_PF01409a,s__Ignisphaera_aggregans
9_PF01409a,s__Staphylothermus_hellenicus
10_PF01409a,s__Thermogladius_calderae
11_PF01409a,s__Thermosphaera_aggregans
12_PF01409a,s__Zestosphaera_tikiterensis
13_PF01409a,s__Hyperthermus_butylicus
14_PF01409a,s__Pyrodictium_occultum
15_PF01409a,s__Pyrolobus_fumarii
16_PF01409a,s__Fervidicoccus_fontis
17_PF01409a,s__Fervidicoccus_sp.
18_PF01409a,s__Acidianus_hospitalis
19_PF01409a,s__Acidianus_manzaensis
20_PF01409a,s__Candidatus_Acidianus_copahuensis
21_PF01409a,s__Candidatus_Aramenus_sulfurataquae
22_PF01409a,s__Metallosphaera_cuprina
23_PF01409a,s__Metallosphaera_cuprina
24_PF01409a,s__Metallosphaera_sedula
25_PF01409a,s__Metallosphaera_yellowstonensis
26_PF01409a,s__Saccharolobus_solfataricus
27_PF01409a,g__Sulfolobus
28_PF01409a,s__Sulfolobus_acidocaldarius
29_PF01409a,s__Sulfurisphaera_tokodaii
30_PF01409a,s__Sulfurisphaera_tokodaii
31_PF01409a,s__Thermofilum_pendens
32_PF01409a,s__Thermofilum_pendens
33_PF01409a,s__Thermofilum_sp._ex4484_79
34_PF01409a,s__Thermofilum_sp._ex4484_79
35_PF01409a,s__Thermofilum_sp._ex4484_82
36_PF01409a,s__Thermofilum_uzonense
37_PF01409a,s__Thermofilum_uzonense
38_PF01409a,s__Caldivirga_maquilingensis
39_PF01409a,s__Pyrobaculum_islandicum
40_PF01409a,s__Thermocladium_sp._ECH_B
41_PF01409a,s__Thermoproteus_sp._AZ2
42_PF01409a,s__Thermoproteus_tenax
43_PF01409a,s__Vulcanisaeta_sp._JCHS_4
44_PF01409a,s__Vulcanisaeta_thermophila
45_PF01409a,s__Archaeoglobus_fulgidus
46_PF01409a,s__Archaeoglobus_profundus
47_PF01409a,s__Archaeoglobus_profundus
48_PF01409a,s__Archaeoglobus_sulfaticallidus
49_PF01409a,s__Archaeoglobus_sulfaticallidus
50_PF01409a,s__Archaeoglobus_veneficus
51_PF01409a,s__Ferroglobus_placidus
52_PF01409a,s__Geoglobus_ahangari
53_PF01409a,s__Geoglobus_ahangari
54_PF01409a,g__Haloarcula
55_PF01409a,s__Halorhabdus_utahensis
56_PF01409a,s__Halorientalis_regularis
57_PF01409a,s__Halosimplex_carlsbadense
58_PF01409a,s__Natronomonas_pharaonis
59_PF01409a,s__Natronomonas_sp._CBA1134
60_PF01409a,s__Haladaptatus_cibarius
61_PF01409a,s__Haladaptatus_litoreus
62_PF01409a,s__Halalkalicoccus_paucihalophilus
63_PF01409a,s__Halanaeroarchaeum_sulfurireducens
64_PF01409a,s__Halarchaeum_acidiphilum
65_PF01409a,s__Haloarchaeobius_iranensis
66_PF01409a,s__Halobacterium_jilantaiense
67_PF01409a,s__Halovenus_aranensis
68_PF01409a,s__Halovenus_aranensis
69_PF01409a,s__Natronoarchaeum_philippinense
70_PF01409a,s__Natronoarchaeum_philippinense
71_PF01409a,s__Halococcus_agarilyticus
72_PF01409a,s__Halococcus_sediminicola
73_PF01409a,s__Halogeometricum_borinquense
74_PF01409a,s__Halogeometricum_borinquense
75_PF01409a,s__Haloquadratum_walsbyi
