Tax.dist	MCC	True.Pos	True.Neg	False.Pos	False.Neg
0	0.188	3450	14833028	43636	3645
1	0.497	15903	14833028	36198	3645
2	0.651	26285	14833028	27992	3645
3	0.678	27355	14833028	24984	3645
4	0.704	27891	14833028	21768	3645
5	0.728	28905	14833028	19473	3645
6	0.819	34403	14833028	11934	3645
7	0.856	36313	14832419	8657	3645
