tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6
f__Solibacteraceae,o__Bryobacterales,rank_4,f__Solibacteraceae,Root,d__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Bryobacterales,f__Solibacteraceae,,
g__Candidatus_Sulfopaludibacter,f__Solibacteraceae,rank_5,g__Candidatus_Sulfopaludibacter,Root,d__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Bryobacterales,f__Solibacteraceae,g__Candidatus_Sulfopaludibacter,
s__Candidatus_Sulfopaludibacter_sp._SbA3,g__Candidatus_Sulfopaludibacter,rank_6,s__Candidatus_Sulfopaludibacter_sp._SbA3,Root,d__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Bryobacterales,f__Solibacteraceae,g__Candidatus_Sulfopaludibacter,s__Candidatus_Sulfopaludibacter_sp._SbA3
c__Blastocatellia,p__Acidobacteria,rank_2,c__Blastocatellia,Root,d__Bacteria,p__Acidobacteria,c__Blastocatellia,,,,
o__Blastocatellales,c__Blastocatellia,rank_3,o__Blastocatellales,Root,d__Bacteria,p__Acidobacteria,c__Blastocatellia,o__Blastocatellales,,,
f__Pyrinomonadaceae,o__Blastocatellales,rank_4,f__Pyrinomonadaceae,Root,d__Bacteria,p__Acidobacteria,c__Blastocatellia,o__Blastocatellales,f__Pyrinomonadaceae,,
g__Pyrinomonas,f__Pyrinomonadaceae,rank_5,g__Pyrinomonas,Root,d__Bacteria,p__Acidobacteria,c__Blastocatellia,o__Blastocatellales,f__Pyrinomonadaceae,g__Pyrinomonas,
s__Pyrinomonas_methylaliphatogenes,g__Pyrinomonas,rank_6,s__Pyrinomonas_methylaliphatogenes,Root,d__Bacteria,p__Acidobacteria,c__Blastocatellia,o__Blastocatellales,f__Pyrinomonadaceae,g__Pyrinomonas,s__Pyrinomonas_methylaliphatogenes
c__Holophagae,p__Acidobacteria,rank_2,c__Holophagae,Root,d__Bacteria,p__Acidobacteria,c__Holophagae,,,,
o__Holophagales,c__Holophagae,rank_3,o__Holophagales,Root,d__Bacteria,p__Acidobacteria,c__Holophagae,o__Holophagales,,,
f__Holophagaceae,o__Holophagales,rank_4,f__Holophagaceae,Root,d__Bacteria,p__Acidobacteria,c__Holophagae,o__Holophagales,f__Holophagaceae,,
g__Geothrix,f__Holophagaceae,rank_5,g__Geothrix,Root,d__Bacteria,p__Acidobacteria,c__Holophagae,o__Holophagales,f__Holophagaceae,g__Geothrix,
s__Geothrix_fermentans,g__Geothrix,rank_6,s__Geothrix_fermentans,Root,d__Bacteria,p__Acidobacteria,c__Holophagae,o__Holophagales,f__Holophagaceae,g__Geothrix,s__Geothrix_fermentans
g__Holophaga,f__Holophagaceae,rank_5,g__Holophaga,Root,d__Bacteria,p__Acidobacteria,c__Holophagae,o__Holophagales,f__Holophagaceae,g__Holophaga,
