seqname,tax_id
135_PF00410a,s__Methanosaeta_sp._ASP1-2
136_PF00410a,s__Methanothrix_thermoacetophila
137_PF00410a,s__Methermicoccus_shengliensis
138_PF00410a,s__Candidatus_Methanohalarchaeum_thermophilum
139_PF00410a,s__Methanonatronarchaeum_thermophilum
140_PF00410a,s__Methanopyrus_sp._KOL6
141_PF00410a,s__Pyrococcus_horikoshii
142_PF00410a,s__Thermococcus_sibiricus
143_PF00410a,s__Thermococcus_sp._P6
144_PF00410a,s__Candidatus_Methanomethylophilus_sp._1R26
145_PF00410a,s__Candidatus_Methanoplasma_termitum
146_PF00410a,s__Candidatus_Methanomassiliicoccus_intestinalis
147_PF00410a,s__Methanomassiliicoccus_luminyensis
148_PF00410a,s__Cuniculiplasma_divulgatum
149_PF00410a,g__Acidiplasma
150_PF00410a,g__Ferroplasma
151_PF00410a,g__Picrophilus
152_PF00410a,s__Thermoplasma_volcanium
153_PF00410a,s__Candidatus_Nitrosocosmicus_oleophilus
154_PF00410a,s__Nitrososphaera_sp.
155_PF00410a,s__Nitrososphaera_viennensis
