seqname,tax_id
1_PF01866,s__Acidilobus_saccharovorans
2_PF01866,s__Acidilobus_sp._7A
3_PF01866,s__uncultured_Acidilobus_sp._OSP8
4_PF01866,s__Caldisphaera_lagunensis
5_PF01866,s__Caldisphaera_sp.
6_PF01866,s__Caldisphaera_sp.
7_PF01866,s__Aeropyrum_pernix
8_PF01866,s__Desulfurococcus_amylolyticus
9_PF01866,s__Desulfurococcus_mucosus
10_PF01866,s__Ignicoccus_hospitalis
11_PF01866,s__Ignicoccus_islandicus
12_PF01866,s__Ignisphaera_aggregans
13_PF01866,s__Staphylothermus_hellenicus
14_PF01866,s__Staphylothermus_marinus
15_PF01866,s__Thermogladius_calderae
16_PF01866,s__Thermosphaera_aggregans
17_PF01866,s__Zestosphaera_tikiterensis
18_PF01866,s__Hyperthermus_butylicus
19_PF01866,s__Pyrodictium_delaneyi
20_PF01866,s__Pyrodictium_occultum
21_PF01866,s__Pyrolobus_fumarii
22_PF01866,s__Fervidicoccus_fontis
23_PF01866,s__Fervidicoccus_sp.
24_PF01866,g__Acidianus
25_PF01866,s__Acidianus_hospitalis
26_PF01866,s__Acidianus_manzaensis
27_PF01866,s__Candidatus_Aramenus_sulfurataquae
28_PF01866,s__Metallosphaera_cuprina
29_PF01866,s__Metallosphaera_sedula
30_PF01866,s__Metallosphaera_yellowstonensis
31_PF01866,s__Saccharolobus_solfataricus
32_PF01866,s__Sulfolobus_acidocaldarius
33_PF01866,s__Sulfolobus_sp._A20
34_PF01866,s__Sulfuracidifex_metallicus
35_PF01866,s__Sulfurisphaera_tokodaii
36_PF01866,s__Thermofilum_adornatum
37_PF01866,s__Thermofilum_pendens
38_PF01866,s__Thermofilum_sp._NZ13
39_PF01866,s__Thermofilum_sp._ex4484_82
40_PF01866,s__Thermofilum_uzonense
41_PF01866,s__Caldivirga_maquilingensis
42_PF01866,s__Pyrobaculum_aerophilum
43_PF01866,s__Pyrobaculum_islandicum
44_PF01866,s__Pyrobaculum_oguniense
45_PF01866,s__Pyrobaculum_sp._WP30
46_PF01866,s__Thermocladium_sp._ECH_B
