seqname,tax_id
1_PF01092,s__Acidilobus_saccharovorans
2_PF01092,s__uncultured_Acidilobus_sp._CIS
3_PF01092,s__Caldisphaera_sp.
4_PF01092,s__Caldisphaera_sp.
5_PF01092,s__Aeropyrum_camini
6_PF01092,s__Desulfurococcus_mucosus
7_PF01092,s__Ignicoccus_hospitalis
8_PF01092,s__Ignicoccus_islandicus
9_PF01092,s__Ignisphaera_aggregans
10_PF01092,s__Staphylothermus_hellenicus
11_PF01092,s__Thermogladius_calderae
12_PF01092,s__Thermosphaera_aggregans
13_PF01092,s__Zestosphaera_tikiterensis
14_PF01092,s__Pyrodictium_occultum
15_PF01092,s__Pyrolobus_fumarii
16_PF01092,s__Fervidicoccus_fontis
17_PF01092,s__Fervidicoccus_sp.
18_PF01092,s__Acidianus_hospitalis
19_PF01092,s__Acidianus_manzaensis
20_PF01092,s__Candidatus_Acidianus_copahuensis
21_PF01092,s__Candidatus_Aramenus_sulfurataquae
22_PF01092,s__Metallosphaera_cuprina
23_PF01092,s__Metallosphaera_sedula
24_PF01092,s__Metallosphaera_yellowstonensis
25_PF01092,g__Sulfolobus
26_PF01092,s__Sulfolobus_acidocaldarius
27_PF01092,s__Sulfolobus_islandicus
28_PF01092,s__Sulfuracidifex_tepidarius
29_PF01092,s__Thermofilum_adornatum
30_PF01092,s__Caldivirga_maquilingensis
31_PF01092,s__Pyrobaculum_calidifontis
32_PF01092,s__Pyrobaculum_neutrophilum
33_PF01092,s__Thermocladium_sp._ECH_B
34_PF01092,s__Thermoproteus_sp._AZ2
35_PF01092,s__Thermoproteus_sp._JCHS_4
36_PF01092,s__Thermoproteus_tenax
37_PF01092,s__Vulcanisaeta_distributa
38_PF01092,s__Vulcanisaeta_thermophila
39_PF01092,s__Archaeoglobus_fulgidus
40_PF01092,s__Archaeoglobus_sulfaticallidus
41_PF01092,s__Archaeoglobus_veneficus
42_PF01092,s__Ferroglobus_placidus
43_PF01092,s__uncultured_Candidatus_Thalassoarchaea_euryarchaeote
44_PF01092,s__uncultured_Candidatus_Thalassoarchaea_euryarchaeote
45_PF01092,s__Halapricum_salinum
46_PF01092,s__Haloarcula_argentinensis
47_PF01092,s__Halomicrobium_mukohataei
48_PF01092,s__Halomicrobium_zhouii
49_PF01092,s__Halorhabdus_tiamatea
50_PF01092,s__Halorientalis_sp._IM1011
51_PF01092,s__Halosimplex_carlsbadense
52_PF01092,s__Natronomonas_moolapensis
53_PF01092,s__Natronomonas_pharaonis
54_PF01092,s__Natronomonas_sp._CBA1134
55_PF01092,s__Haladaptatus_sp._R4
56_PF01092,s__Halalkalicoccus_jeotgali
57_PF01092,s__Halarchaeum_acidiphilum
58_PF01092,s__Haloarchaeobius_iranensis
59_PF01092,s__Halobacterium_jilantaiense
60_PF01092,s__Halobacterium_sp._CBA1132
61_PF01092,s__Halobacterium_sp._DL1
62_PF01092,s__Halodesulfurarchaeum_formicicum
63_PF01092,s__Halovenus_aranensis
64_PF01092,s__Natronoarchaeum_philippinense
65_PF01092,s__Halococcus_salifodinae
66_PF01092,s__Halococcus_sediminicola
67_PF01092,s__Halegenticoccus_soli
68_PF01092,s__Halobellus_clavatus
69_PF01092,s__Halobellus_limi
70_PF01092,s__Halobellus_rufus
71_PF01092,g__Haloferax
72_PF01092,s__Halogeometricum_rufum
73_PF01092,s__Halogranum_amylolyticum
74_PF01092,s__Halopelagius_longus
75_PF01092,s__Haloplanus_vescus
76_PF01092,s__Haloprofundus_marisrubri
77_PF01092,s__Haloquadratum_walsbyi
78_PF01092,s__Haloquadratum_walsbyi
79_PF01092,s__Haloquadratum_walsbyi
80_PF01092,s__Candidatus_Halobonum_tyrrellensis
81_PF01092,s__Halobaculum_gomorrense
82_PF01092,s__Halohasta_litchfieldiae
83_PF01092,g__Halolamina
84_PF01092,s__Halonotius_sp._J07HN4
85_PF01092,s__Halonotius_sp._J07HN6
86_PF01092,s__Haloparvum_sedimenti
87_PF01092,s__Halopenitus_malekzadehii
88_PF01092,s__Halorubrum_sp._BV1
89_PF01092,s__Halorubrum_vacuolatum
90_PF01092,s__Salinigranum_rubrum
91_PF01092,s__Halostagnicola_sp._A56
92_PF01092,s__Halovivax_asiaticus
93_PF01092,s__Natrarchaeobaculum_aegyptiacum
94_PF01092,s__Natrialba_sp._SSL1
95_PF01092,s__Natrinema_pallidum
96_PF01092,s__Natronorubrum_texcoconense
97_PF01092,s__Salinarchaeum_sp._Harcht-Bsk1
98_PF01092,g__Methanobacterium
99_PF01092,s__Methanobacterium_congolense
100_PF01092,s__Methanobacterium_formicicum
101_PF01092,g__Methanobrevibacter
102_PF01092,g__Methanobrevibacter
103_PF01092,s__Methanobrevibacter_arboriphilus
104_PF01092,s__Methanobrevibacter_curvatus
105_PF01092,s__Methanobrevibacter_cuticularis
106_PF01092,s__Methanobrevibacter_filiformis
107_PF01092,s__Methanobrevibacter_ruminantium
108_PF01092,s__Methanosphaera_cuniculi
109_PF01092,g__Methanothermobacter
110_PF01092,s__Methanothermobacter_sp._MT-2
111_PF01092,s__Methanocaldococcus_villosus
112_PF01092,s__Methanotorris_formicicus
113_PF01092,s__Methanothermococcus_thermolithotrophicus
114_PF01092,s__Methanocella_arvoryzae
115_PF01092,s__Methanocella_conradii
116_PF01092,s__Methanocalculus_sp._52_23
117_PF01092,g__Methanocorpusculum
118_PF01092,s__Methanoculleus_marisnigri
119_PF01092,s__Methanoculleus_sp._SDB
120_PF01092,s__Methanofollis_ethanolicus
121_PF01092,s__Methanofollis_liminatans
122_PF01092,s__Methanogenium_cariaci
123_PF01092,s__Methanolacinia_petrolearia
124_PF01092,s__Methanomicrobium_mobile
125_PF01092,s__Methanoplanus_limicola
126_PF01092,s__Methanolinea_sp._SDB
127_PF01092,s__Methanolinea_tarda
128_PF01092,s__Methanoregula_boonei
129_PF01092,s__Methanoregula_formicica
130_PF01092,s__Methanosphaerula_palustris
131_PF01092,s__Candidatus_Methanoperedens_nitroreducens
132_PF01092,s__Candidatus_Methanoperedens_sp._BLZ2
133_PF01092,s__Methanococcoides_methylutens
134_PF01092,s__Methanohalobium_evestigatum
135_PF01092,s__Methanohalophilus_halophilus
136_PF01092,s__Methanolobus_psychrophilus
137_PF01092,s__Methanolobus_psychrotolerans
138_PF01092,s__Methanolobus_sp._T82-4
139_PF01092,s__Methanomethylovorans_hollandica
140_PF01092,s__Methanosalsum_zhilinae
141_PF01092,s__Methanosarcina_horonobensis
142_PF01092,s__Methanosarcina_sp._MTP4
143_PF01092,s__Methanosaeta_harundinacea
144_PF01092,s__Methanothrix_soehngenii
145_PF01092,s__Methanothrix_thermoacetophila
146_PF01092,s__Methermicoccus_shengliensis
147_PF01092,s__Candidatus_Methanohalarchaeum_thermophilum
148_PF01092,s__Methanonatronarchaeum_thermophilum
149_PF01092,s__Methanopyrus_sp._KOL6
150_PF01092,s__Palaeococcus_ferrophilus
151_PF01092,s__Pyrococcus_furiosus
152_PF01092,s__Thermococcus_nautili
153_PF01092,s__Thermococcus_sibiricus
154_PF01092,s__Thermococcus_sp._AM4
155_PF01092,s__Thermococcus_sp._P6
156_PF01092,s__Candidatus_Methanomethylophilus_sp._1R26
157_PF01092,s__Candidatus_Methanoplasma_termitum
158_PF01092,s__Methanomassiliicoccus_luminyensis
159_PF01092,s__Cuniculiplasma_divulgatum
160_PF01092,g__Acidiplasma
161_PF01092,s__Ferroplasma_sp._Type_II
162_PF01092,g__Picrophilus
163_PF01092,s__Thermoplasma_acidophilum
164_PF01092,g__Candidatus_Nitrosocaldus
165_PF01092,s__Candidatus_Nitrosocosmicus_oleophilus
166_PF01092,s__Candidatus_Nitrososphaera_evergladensis
167_PF01092,s__Candidatus_Nitrososphaera_gargensis
168_PF01092,s__Saccharospirillum_mangrovi
169_PF01092,s__Acinetobacter_baumannii
