seqname,tax_id
1_PF00380a,s__Acidilobus_sp._7A
2_PF00380a,s__uncultured_Acidilobus_sp._JCHS
3_PF00380a,s__Caldisphaera_lagunensis
4_PF00380a,s__Aeropyrum_camini
5_PF00380a,s__Desulfurococcus_amylolyticus
6_PF00380a,s__Ignicoccus_islandicus
7_PF00380a,s__Ignisphaera_aggregans
8_PF00380a,s__Staphylothermus_hellenicus
9_PF00380a,s__Thermogladius_calderae
10_PF00380a,s__Thermosphaera_aggregans
11_PF00380a,s__Pyrodictium_occultum
12_PF00380a,s__Fervidicoccus_fontis
13_PF00380a,s__Fervidicoccus_sp.
14_PF00380a,s__Acidianus_hospitalis
15_PF00380a,s__Acidianus_manzaensis
16_PF00380a,s__Candidatus_Acidianus_copahuensis
17_PF00380a,s__Metallosphaera_sedula
18_PF00380a,s__Metallosphaera_yellowstonensis
19_PF00380a,s__Sulfolobus_acidocaldarius
20_PF00380a,s__Sulfolobus_islandicus
21_PF00380a,s__Sulfuracidifex_metallicus
22_PF00380a,s__Sulfuracidifex_tepidarius
23_PF00380a,s__Thermofilum_adornatum
24_PF00380a,s__Thermofilum_sp._NZ13
25_PF00380a,s__Thermofilum_sp._ex4484_79
26_PF00380a,s__Caldivirga_maquilingensis
27_PF00380a,s__Pyrobaculum_sp._WP30
28_PF00380a,s__Thermocladium_sp._ECH_B
29_PF00380a,s__Thermoproteus_tenax
30_PF00380a,s__Vulcanisaeta_thermophila
31_PF00380a,s__Archaeoglobus_fulgidus
32_PF00380a,s__Archaeoglobus_profundus
33_PF00380a,s__Archaeoglobus_sulfaticallidus
34_PF00380a,s__Geoglobus_acetivorans
35_PF00380a,s__Halarchaeum_acidiphilum
36_PF00380a,s__Halovenus_aranensis
37_PF00380a,g__Halococcus
38_PF00380a,s__Halorubrum_sp._SD626R
39_PF00380a,s__Methanobrevibacter_filiformis
40_PF00380a,s__Methanosphaera_cuniculi
41_PF00380a,s__Methanothermobacter_sp._MT-2
42_PF00380a,s__Methanothermobacter_wolfeii
43_PF00380a,s__Methanotorris_formicicus
44_PF00380a,s__Methanococcus_aeolicus
45_PF00380a,s__Methanococcus_vannielii
46_PF00380a,s__Methanococcus_voltae
47_PF00380a,s__Methanothermococcus_thermolithotrophicus
48_PF00380a,s__Methanocella_conradii
49_PF00380a,s__Methanocalculus_sp._52_23
50_PF00380a,g__Methanoculleus
51_PF00380a,s__Methanofollis_ethanolicus
52_PF00380a,s__Methanogenium_cariaci
53_PF00380a,g__Methanolacinia
54_PF00380a,s__Methanoplanus_limicola
55_PF00380a,s__Methanolinea_sp._SDB
56_PF00380a,s__Methanoregula_sp.
57_PF00380a,s__Methanosphaerula_palustris
58_PF00380a,s__Methanospirillum_hungatei
59_PF00380a,s__Candidatus_Methanoperedens_nitroreducens
60_PF00380a,s__Methanohalobium_evestigatum
61_PF00380a,s__Methanohalophilus_mahii
62_PF00380a,s__Methanolobus_tindarius
63_PF00380a,s__Methanomethylovorans_hollandica
64_PF00380a,s__Methanosalsum_zhilinae
65_PF00380a,s__Methanosarcina_acetivorans
66_PF00380a,s__Methanosaeta_sp._NSP1
67_PF00380a,s__Methanosaeta_sp._SDB
68_PF00380a,s__Methanothrix_thermoacetophila
69_PF00380a,s__Candidatus_Methanohalarchaeum_thermophilum
70_PF00380a,s__Methanonatronarchaeum_thermophilum
71_PF00380a,s__Methanopyrus_sp._KOL6
72_PF00380a,s__Palaeococcus_ferrophilus
73_PF00380a,s__Thermococcus_sibiricus
74_PF00380a,s__Candidatus_Methanoplasma_termitum
75_PF00380a,s__Candidatus_Methanomassiliicoccus_intestinalis
76_PF00380a,s__Cuniculiplasma_divulgatum
77_PF00380a,g__Ferroplasma
78_PF00380a,g__Picrophilus
79_PF00380a,s__Thermoplasma_volcanium
80_PF00380a,g__Candidatus_Nitrosocaldus
81_PF00380a,s__Candidatus_Nitrosocosmicus_oleophilus
82_PF00380a,s__Nitrososphaera_viennensis
