seqname,tax_id
1_PF00900,s__Acidilobus_saccharovorans
2_PF00900,s__Acidilobus_sp._7A
3_PF00900,s__uncultured_Acidilobus_sp._CIS
4_PF00900,s__uncultured_Acidilobus_sp._OSP8
5_PF00900,s__Caldisphaera_lagunensis
6_PF00900,s__Caldisphaera_sp.
7_PF00900,s__Caldisphaera_sp.
8_PF00900,s__Aeropyrum_camini
9_PF00900,s__Aeropyrum_pernix
10_PF00900,s__Desulfurococcus_amylolyticus
11_PF00900,s__Desulfurococcus_mucosus
12_PF00900,s__Ignicoccus_hospitalis
13_PF00900,s__Ignicoccus_islandicus
14_PF00900,s__Ignisphaera_aggregans
15_PF00900,s__Staphylothermus_hellenicus
16_PF00900,s__Thermogladius_calderae
17_PF00900,s__Thermosphaera_aggregans
18_PF00900,s__Zestosphaera_tikiterensis
19_PF00900,s__Hyperthermus_butylicus
20_PF00900,s__Pyrodictium_delaneyi
21_PF00900,s__Pyrodictium_occultum
22_PF00900,s__Pyrolobus_fumarii
23_PF00900,s__Fervidicoccus_fontis
24_PF00900,s__Fervidicoccus_sp.
25_PF00900,s__Acidianus_hospitalis
26_PF00900,s__Acidianus_manzaensis
27_PF00900,s__Candidatus_Acidianus_copahuensis
28_PF00900,s__Candidatus_Aramenus_sulfurataquae
29_PF00900,s__Metallosphaera_cuprina
30_PF00900,s__Metallosphaera_sedula
31_PF00900,s__Metallosphaera_yellowstonensis
32_PF00900,s__Saccharolobus_solfataricus
33_PF00900,g__Sulfolobus
34_PF00900,s__Sulfolobus_acidocaldarius
35_PF00900,s__Sulfolobus_islandicus
36_PF00900,s__Sulfuracidifex_metallicus
37_PF00900,s__Sulfuracidifex_tepidarius
38_PF00900,s__Sulfurisphaera_tokodaii
39_PF00900,s__Thermofilum_adornatum
40_PF00900,s__Thermofilum_pendens
41_PF00900,s__Thermofilum_sp._NZ13
42_PF00900,s__Thermofilum_sp._ex4484_15
43_PF00900,s__Thermofilum_sp._ex4484_79
44_PF00900,s__Thermofilum_uzonense
45_PF00900,s__Caldivirga_maquilingensis
46_PF00900,s__Caldivirga_sp._MG_3
47_PF00900,s__Pyrobaculum_aerophilum
48_PF00900,s__Pyrobaculum_arsenaticum
49_PF00900,s__Pyrobaculum_calidifontis
50_PF00900,s__Pyrobaculum_ferrireducens
51_PF00900,s__Pyrobaculum_islandicum
52_PF00900,s__Pyrobaculum_neutrophilum
53_PF00900,s__Pyrobaculum_sp._WP30
54_PF00900,s__Thermocladium_sp._ECH_B
55_PF00900,s__Thermoproteus_sp._AZ2
56_PF00900,s__Thermoproteus_sp._JCHS_4
57_PF00900,s__Thermoproteus_tenax
58_PF00900,s__Thermoproteus_uzoniensis
59_PF00900,s__Vulcanisaeta_distributa
60_PF00900,s__Vulcanisaeta_moutnovskia
61_PF00900,s__Vulcanisaeta_sp._AZ3
62_PF00900,s__Vulcanisaeta_sp._OSP_8
63_PF00900,s__Vulcanisaeta_thermophila
64_PF00900,s__Archaeoglobus_fulgidus
65_PF00900,s__Archaeoglobus_profundus
66_PF00900,s__Archaeoglobus_sulfaticallidus
67_PF00900,s__Archaeoglobus_veneficus
68_PF00900,s__Ferroglobus_placidus
69_PF00900,s__Geoglobus_acetivorans
70_PF00900,s__Geoglobus_ahangari
71_PF00900,s__Candidatus_Thalassoarchaea_marina
72_PF00900,s__Halapricum_salinum
73_PF00900,g__Haloarcula
74_PF00900,s__Haloarcula_vallismortis
75_PF00900,s__Halomicrobium_mukohataei
76_PF00900,s__Halomicrobium_zhouii
77_PF00900,s__Halorhabdus_tiamatea
78_PF00900,s__Halorhabdus_utahensis
79_PF00900,s__Halorientalis_regularis
80_PF00900,s__Halorientalis_sp._IM1011
81_PF00900,s__Halosimplex_carlsbadense
82_PF00900,g__Natronomonas
83_PF00900,s__Natronomonas_moolapensis
84_PF00900,s__Natronomonas_pharaonis
85_PF00900,g__Haladaptatus
86_PF00900,s__Haladaptatus_litoreus
87_PF00900,s__Haladaptatus_sp._R4
88_PF00900,s__Halalkalicoccus_jeotgali
89_PF00900,s__Halalkalicoccus_paucihalophilus
90_PF00900,s__Halanaeroarchaeum_sulfurireducens
91_PF00900,s__Halarchaeum_acidiphilum
92_PF00900,s__Haloarchaeobius_iranensis
93_PF00900,s__Halobacterium_hubeiense
94_PF00900,s__Halobacterium_jilantaiense
95_PF00900,s__Halobacterium_salinarum
96_PF00900,s__Halobacterium_sp._CBA1132
97_PF00900,s__Halobacterium_sp._DL1
98_PF00900,s__Halodesulfurarchaeum_formicicum
99_PF00900,s__Halovenus_aranensis
100_PF00900,s__Natronoarchaeum_philippinense
101_PF00900,s__Halococcus_agarilyticus
102_PF00900,s__Halococcus_hamelinensis
103_PF00900,s__Halococcus_morrhuae
104_PF00900,s__Halococcus_saccharolyticus
105_PF00900,s__Halococcus_salifodinae
106_PF00900,s__Halococcus_sediminicola
107_PF00900,s__Halococcus_thailandensis
108_PF00900,s__Halegenticoccus_soli
109_PF00900,s__Halobellus_clavatus
110_PF00900,s__Halobellus_limi
111_PF00900,s__Halobellus_rufus
112_PF00900,g__Haloferax
113_PF00900,s__Haloferax_elongans
114_PF00900,s__Haloferax_mediterranei
115_PF00900,s__Haloferax_mucosum
116_PF00900,s__Haloferax_sp._SB29
117_PF00900,s__Halogeometricum_borinquense
118_PF00900,s__Halogeometricum_limi
119_PF00900,s__Halogeometricum_pallidum
120_PF00900,s__Halogeometricum_rufum
121_PF00900,g__Halogranum
122_PF00900,s__Halogranum_amylolyticum
123_PF00900,s__Halogranum_gelatinilyticum
124_PF00900,s__Halopelagius_inordinatus
125_PF00900,s__Halopelagius_longus
126_PF00900,s__Haloplanus_natans
127_PF00900,s__Haloplanus_vescus
128_PF00900,s__Haloprofundus_marisrubri
129_PF00900,s__Haloquadratum_walsbyi
130_PF00900,s__Haloquadratum_walsbyi
131_PF00900,s__Haloquadratum_walsbyi
132_PF00900,s__Candidatus_Halobonum_tyrrellensis
133_PF00900,s__Halobaculum_gomorrense
134_PF00900,s__Halohasta_litchfieldiae
135_PF00900,g__Halolamina
136_PF00900,s__Halolamina_pelagica
137_PF00900,s__Halolamina_sp._CBA1230
138_PF00900,s__Halonotius_sp._J07HN4
139_PF00900,s__Halonotius_sp._J07HN6
140_PF00900,s__Haloparvum_sedimenti
141_PF00900,s__Halopenitus_malekzadehii
142_PF00900,s__Halopenitus_persicus
143_PF00900,s__Halorubrum_aidingense
144_PF00900,s__Halorubrum_ezzemoulense
145_PF00900,s__Halorubrum_halodurans
146_PF00900,s__Halorubrum_litoreum
147_PF00900,s__Halorubrum_persicum
148_PF00900,s__Halorubrum_sp._BV1
149_PF00900,s__Halorubrum_sp._J07HR59
150_PF00900,s__Halorubrum_vacuolatum
151_PF00900,s__Salinigranum_rubrum
152_PF00900,s__Halobiforma_lacisalsi
153_PF00900,s__Halobiforma_nitratireducens
154_PF00900,s__Halopiger_djelfimassiliensis
155_PF00900,s__Halopiger_goleimassiliensis
156_PF00900,s__Halopiger_salifodinae
157_PF00900,s__Halopiger_xanaduensis
158_PF00900,s__Halostagnicola_sp._A56
159_PF00900,g__Haloterrigena
160_PF00900,s__Haloterrigena_hispanica
161_PF00900,s__Haloterrigena_salina
162_PF00900,s__Halovivax_ruber
163_PF00900,s__Natrarchaeobaculum_aegyptiacum
164_PF00900,s__Natrialba_aegyptia
165_PF00900,s__Natrialba_chahannaoensis
166_PF00900,s__Natrialba_magadii
167_PF00900,s__Natrialba_magadii
168_PF00900,s__Natrialba_sp._SSL1
169_PF00900,g__Natrinema
170_PF00900,s__Natrinema_ejinorense
171_PF00900,s__Natrinema_salaciae
172_PF00900,s__Natrinema_sp._CBA1119
173_PF00900,s__Natrinema_versiforme
174_PF00900,s__Natronobacterium_gregoryi
175_PF00900,s__Natronococcus_amylolyticus
176_PF00900,s__Natronococcus_jeotgali
177_PF00900,s__Natronococcus_occultus
178_PF00900,s__Natronolimnobius_baerhuensis
179_PF00900,s__Natronolimnohabitans_innermongolicus
180_PF00900,s__Natronorubrum_sediminis
181_PF00900,s__Natronorubrum_sulfidifaciens
182_PF00900,s__Natronorubrum_thiooxidans
183_PF00900,s__Natronorubrum_tibetense
184_PF00900,s__Salinarchaeum_sp._Harcht-Bsk1
185_PF00900,g__Methanobacterium
186_PF00900,s__Methanobacterium_congolense
187_PF00900,s__Methanobacterium_formicicum
188_PF00900,s__Methanobacterium_lacus
189_PF00900,s__Methanobacterium_paludis
190_PF00900,s__Methanobacterium_sp._MB1
191_PF00900,s__Methanobacterium_sp._Maddingley_MBC34
192_PF00900,s__Methanobacterium_subterraneum
193_PF00900,g__Methanobrevibacter
194_PF00900,s__Methanobrevibacter_arboriphilus
195_PF00900,s__Methanobrevibacter_curvatus
196_PF00900,s__Methanobrevibacter_cuticularis
197_PF00900,s__Methanobrevibacter_filiformis
198_PF00900,s__Methanobrevibacter_millerae
199_PF00900,s__Methanobrevibacter_olleyae
200_PF00900,s__Methanobrevibacter_oralis
201_PF00900,s__Methanobrevibacter_ruminantium
202_PF00900,s__Methanobrevibacter_smithii
203_PF00900,s__Methanobrevibacter_sp._87.7
204_PF00900,s__Methanobrevibacter_sp._AbM4
205_PF00900,s__Methanobrevibacter_sp._YE315
206_PF00900,s__Methanobrevibacter_wolinii
207_PF00900,g__Methanosphaera
208_PF00900,s__Methanosphaera_cuniculi
209_PF00900,s__Methanosphaera_sp._WGK6
210_PF00900,g__Methanothermobacter
211_PF00900,g__Methanothermobacter
212_PF00900,s__Methanothermobacter_sp._MT-2
213_PF00900,s__Methanothermobacter_wolfeii
214_PF00900,s__Methanothermus_fervidus
215_PF00900,s__Methanocaldococcus_fervens
216_PF00900,s__Methanocaldococcus_infernus
217_PF00900,s__Methanocaldococcus_sp._FS406-22
218_PF00900,s__Methanocaldococcus_villosus
219_PF00900,s__Methanotorris_formicicus
220_PF00900,s__Methanotorris_igneus
221_PF00900,s__Methanococcus_aeolicus
222_PF00900,s__Methanococcus_maripaludis
223_PF00900,s__Methanococcus_vannielii
224_PF00900,s__Methanococcus_voltae
225_PF00900,s__Methanothermococcus_okinawensis
226_PF00900,s__Methanothermococcus_thermolithotrophicus
227_PF00900,s__Methanocella_arvoryzae
228_PF00900,s__Methanocella_conradii
229_PF00900,s__Methanocella_paludicola
230_PF00900,s__Methanocalculus_sp._52_23
231_PF00900,g__Methanocorpusculum
232_PF00900,s__Methanocorpusculum_labreanum
233_PF00900,s__Methanoculleus_bourgensis
234_PF00900,s__Methanoculleus_chikugoensis
235_PF00900,s__Methanoculleus_horonobensis
236_PF00900,s__Methanoculleus_marisnigri
237_PF00900,s__Methanoculleus_marisnigri
238_PF00900,s__Methanoculleus_sediminis
239_PF00900,s__Methanoculleus_sp._MH98A
240_PF00900,s__Methanoculleus_sp._SDB
241_PF00900,s__Methanoculleus_thermophilus
242_PF00900,s__Methanofollis_ethanolicus
243_PF00900,s__Methanofollis_liminatans
244_PF00900,s__Methanolacinia_paynteri
245_PF00900,s__Methanomicrobium_mobile
246_PF00900,s__Methanoplanus_limicola
247_PF00900,s__Methanolinea_sp._SDB
248_PF00900,s__Methanolinea_tarda
249_PF00900,s__Methanoregula_boonei
250_PF00900,s__Methanoregula_formicica
251_PF00900,s__Methanosphaerula_palustris
252_PF00900,s__Methanospirillum_hungatei
253_PF00900,s__Candidatus_Methanoperedens_nitroreducens
254_PF00900,s__Candidatus_Methanoperedens_nitroreducens
255_PF00900,s__Candidatus_Methanoperedens_sp._BLZ1
256_PF00900,s__Methanococcoides_burtonii
257_PF00900,s__Methanococcoides_methylutens
258_PF00900,s__Methanococcoides_methylutens
259_PF00900,s__Methanococcoides_vulcani
260_PF00900,s__Methanohalobium_evestigatum
261_PF00900,s__Methanohalophilus_mahii
262_PF00900,s__Methanohalophilus_portucalensis
263_PF00900,s__Methanolobus_profundi
264_PF00900,s__Methanolobus_psychrophilus
265_PF00900,s__Methanolobus_psychrotolerans
266_PF00900,s__Methanolobus_sp._T82-4
267_PF00900,s__Methanolobus_tindarius
268_PF00900,s__Methanolobus_vulcani
269_PF00900,s__Methanomethylovorans_hollandica
270_PF00900,s__Methanosalsum_zhilinae
271_PF00900,g__Methanosarcina
272_PF00900,g__Methanosarcina
273_PF00900,g__Methanosarcina
274_PF00900,s__Methanosarcina_flavescens
275_PF00900,s__Methanosarcina_sp._Ant1
276_PF00900,s__Methanosarcina_sp._MTP4
277_PF00900,s__Methanosarcina_spelaei
278_PF00900,s__Methanosarcina_thermophila
279_PF00900,s__Methanosaeta_harundinacea
280_PF00900,s__Methanosaeta_harundinacea
281_PF00900,s__Methanosaeta_sp._ASM2
282_PF00900,s__Methanosaeta_sp._ASP1-2
