seqname,tax_id
1_PF01655,s__Acidilobus_saccharovorans
2_PF01655,s__Acidilobus_sp._7A
3_PF01655,s__Caldisphaera_sp.
4_PF01655,s__Caldisphaera_sp.
5_PF01655,s__Aeropyrum_camini
6_PF01655,s__Aeropyrum_pernix
7_PF01655,s__Desulfurococcus_amylolyticus
8_PF01655,s__Desulfurococcus_mucosus
9_PF01655,s__Ignicoccus_hospitalis
10_PF01655,s__Ignicoccus_islandicus
11_PF01655,s__Ignisphaera_aggregans
12_PF01655,s__Staphylothermus_hellenicus
13_PF01655,s__Thermogladius_calderae
14_PF01655,s__Thermosphaera_aggregans
15_PF01655,s__Zestosphaera_tikiterensis
16_PF01655,s__Hyperthermus_butylicus
17_PF01655,s__Pyrodictium_delaneyi
18_PF01655,s__Pyrodictium_occultum
19_PF01655,s__Pyrolobus_fumarii
20_PF01655,s__Fervidicoccus_fontis
21_PF01655,s__Fervidicoccus_sp.
22_PF01655,s__Acidianus_hospitalis
23_PF01655,s__Acidianus_manzaensis
24_PF01655,s__Candidatus_Acidianus_copahuensis
25_PF01655,s__Candidatus_Aramenus_sulfurataquae
26_PF01655,s__Metallosphaera_cuprina
27_PF01655,s__Metallosphaera_sedula
28_PF01655,s__Metallosphaera_yellowstonensis
29_PF01655,g__Sulfolobus
30_PF01655,s__Sulfolobus_acidocaldarius
31_PF01655,s__Sulfolobus_islandicus
32_PF01655,s__Sulfuracidifex_metallicus
33_PF01655,s__Sulfuracidifex_tepidarius
34_PF01655,s__Sulfurisphaera_tokodaii
35_PF01655,s__Thermofilum_adornatum
36_PF01655,s__Thermofilum_pendens
37_PF01655,s__Thermofilum_sp._NZ13
38_PF01655,s__Thermofilum_sp._ex4484_15
39_PF01655,s__Thermofilum_sp._ex4484_79
40_PF01655,s__Thermofilum_uzonense
41_PF01655,s__Caldivirga_maquilingensis
42_PF01655,s__Caldivirga_sp._MU80
43_PF01655,s__Pyrobaculum_aerophilum
44_PF01655,s__Pyrobaculum_islandicum
